Contributor,Commits,Added,Deleted,Repos
jamalex,9,2203,1585,1
mirkobrombin,183,2305,1571,2
corna,82,2633,1564,2
hughsie,123,2487,1554,6
ljoonal,12,5251,1546,1
christianparpart,36,1654,1528,1
darkdragon-001,69,1939,1501,6
bochecha,125,4227,1488,19
gjanssens,28,2229,1477,1
xarbit,116,2378,1449,1
kowalski7cc,105,3593,1436,5
micahflee,24,1343,1434,2
ids1024,15,4399,1426,1
ElXreno,169,2731,1404,7
danvratil,50,2728,1395,1
mikix,63,3172,1389,2
corecontingency,125,1983,1388,36
cbm755,172,1672,1388,3
PopoutApps,72,1621,1384,1
danigm,197,2612,1374,12
sixpounder,20,1468,1371,1
gruve-p,28,2836,1356,2
ChristopherHX,77,1684,1350,1
weclaw1,13,3064,1342,1
gerlachs,67,2468,1330,1
jneem,18,4349,1295,1
4c0n,88,2207,1294,2
linuxhw,110,1828,1294,1
liushuyu,98,1846,1293,2
zebra-lucky,22,3162,1280,2
iwalton3,65,3108,1264,2
me00001,24,3461,1247,4
ptomato,34,3538,1231,4
joshua-stone,145,1758,1229,7
SeaDve,78,1445,1225,5
Calinou,173,1619,1221,13
SISheogorath,141,1629,1218,6
benini,10,1334,1211,1
AltNico,34,1476,1188,1
ai,43,1186,1184,2
m4tx,4,4098,1180,1
GabMus,52,2486,1180,4
codifryed,147,2543,1168,2
anarcat,28,1896,1150,1
Tim453,20,1250,1136,1
flyingcakes85,204,7289,1132,91
Newbytee,58,2063,1131,15
GeorgesStavracas,70,1286,1120,8
orowith2os,115,1857,1109,16
LeSnake04,21,6255,1102,2
mikelolasagasti,25,1324,1094,2
create3000,63,1648,1086,1
Mailaender,187,25410,1078,91
sigaloid,1,1015,1067,1
JordanL2,114,1358,1061,2
Steinhagen,9,209,1035,4
amka,46,1480,1026,2
espidev,136,1318,1011,13
theCapypara,30,5209,1011,2
kparal,88,1619,1007,2
nolyn,58,1715,1000,2
t-chaik,5,1219,996,2
akallabeth,34,1259,973,5
purejava,38,4158,949,1
ozmartian,96,1424,943,1
divVerent,75,1564,942,1
rmnvgr,64,1471,936,5
xylo04,40,1223,933,5
wberrier,55,5014,925,3
milkknife,11,1467,921,2
abique,25,801,916,1
valos,115,1956,908,1
Huluti,36,2071,892,2
ssssam,67,2295,892,1
mvgiacomello,16,8053,857,1
binaryfields,55,1694,852,6
zocker-160,55,1272,839,5
alatiera,41,449,839,14
BigmenPixel0,94,1104,821,21
oliv3,152,439,819,1
flavioislima,109,1789,809,2
actionless,77,944,807,1
freeseacher,17,1060,807,1
rderooy,104,1465,806,3
subins2000,4,987,806,1
smcv,55,86024,799,2
mathiascode,40,853,784,2
charlag,36,1263,783,1
lu9dce,32,376,776,2
rszibele,32,2019,775,4
amolenaar,19,923,773,1
aivarannamaa,12,1166,770,1
brugr,1,135,764,1
linkmauve,59,1953,757,5
marysaka,19,2261,757,1
Exalm,40,1057,755,10
tilosp,141,793,752,9
antenore,148,258361,748,1
prodrigestivill,124,1548,746,9
christianrauch,21,481,740,3
geigi,93,958,740,1
swanux,15,2877,738,1
CarlSchwan,101,50301,732,18
ykgmfq,54,1140,725,4
istori1,37,35351,721,2
bertogg,27,1227,718,1
louib,5,59,713,3
diemmarkus,23,852,706,1
iuyte,13,842,702,1
ilya-zlobintsev,31,418,691,1
dreua,85,818,690,2
jlskuz,44,758,685,1
alex-w,36,654,680,1
TheBrokenRail,43,794,672,1
Garbee,62,736,668,1
giantpinkrobots,11,159,664,1
coslyk,58,1009,661,2
mdwalters,43,148,654,1
kebekus,38,399,652,3
g-maxime,64,1471,651,7
