Contributor,Commits,Added,Deleted,Repos
ntninja,60,4377,2992,5
jijojosephk,60,714,311,1
librebob,60,859,458,8
debarshiray,60,631,300,2
linkmauve,59,1953,757,5
hanna-kn,59,675,472,2
pedrolcl,59,796,402,5
vulongm,59,19280,17119,4
turtlegarden,59,236,197,1
Newbytee,58,2063,1131,15
coslyk,58,1009,661,2
nolyn,58,1715,1000,2
Pixelnarium,58,8419,4309,8
joaquimrocha,57,291880,288776,5
swsnr,57,11160,5615,7
bdbcat,57,148,364,1
larchunix,57,317,256262,1
lachhebo,56,996,639,4
paperManu,56,462,310,1
PowerBall253,56,31101,27869,1
zocker-160,55,1272,839,5
ljrk0,55,99254,54689,1
maoschanz,55,272,218,2
binaryfields,55,1694,852,6
wberrier,55,5014,925,3
smcv,55,86024,799,2
lazka,55,17039,16468,4
pjbroad,55,6001,298,1
Merrit,54,1125,503,3
Hofer-Julian,54,583,578,4
Lonsfor,54,644,167,7
keshavbhatt,54,748,382,3
ykgmfq,54,1140,725,4
GabMus,52,2486,1180,4
Moussa,52,169,122,2
lokedhs,51,2790,223,1
patriziobruno,51,807,323,6
DoctorJohn,51,436,129,1
mjog,51,4286,3854,2
dimkr,50,128,108,1
junrrein,50,552,318,1
krille-chan,50,258,264,1
nickavem,50,339,128,3
JorisGoosen,50,15213,15000,1
danvratil,50,2728,1395,1
esys-escript,49,444,450,1
ADBeveridge,49,128,117,2
sakya,49,2839,1730,1
BeatLink,49,185,147,3
elboulangero,49,354,217,1
rafaelmardojai,48,534,273,6
Simon-Laux,48,132717,135551,1
emmanueltouzery,48,16345,4867,3
d-513,48,5065,4883,2
Diego-Ivan,48,273,111,3
plata,48,1129,430,5
Chocobo1,48,194,129,1
jangernert,47,4214,4153,1
MaurycyLiebner,47,47,47,1
DavidoTek,47,603,318,1
nexryai,47,163,76,1
dusansimic,46,66240,42558,5
jarek-foksa,46,15470,12263,1
birros,46,59315,33150,1
amka,46,1480,1026,2
iakmds,46,422,381,1
OzarkShepherd,46,945,240,1
Ovenoboyo,45,32789,15077,1
GeopJr,45,727,388,3
tijder,45,887,543,2
tigercoding56,45,289,193,1
enzo1982,45,56688,35520,1
torikulhabib,44,605,81,1
wsgalaxy,44,2287,1640,4
lainsce,44,97,59,7
nate-xyz,44,8443,356,4
XargonWan,44,37887,37220,1
lbssousa,44,809,618,1
phako,44,456,185,1
