Contributor,Commits,Added,Deleted,Repos
mathiascode,47,908,840,5
plata,53,3772,439,5
subpop,22,367,36,4
sungsphinx,9,177,42,4
sebastian-de,32,9307,1980,4
mbooth101,21,3687,3411,4
rszibele,32,2019,775,4
daenney,14,196,23,4
Merrit,97,1443,732,4
adil192,141,1399,931,4
kvuj,5,51,20,4
ghazyami,53,1071,348,4
samy-k97,12,194,139,4
Hofer-Julian,75,759,869,4
frantisekz,4,12,12,4
rmnvgr,79,1559,1073,4
istori1,129,46030,6571,4
Parnassius,62,1101,774,4
eduardosm,18,190,54,4
mwleeds,19,259,317,4
g-fb,94,1060,759,4
andrunko,13,679,89,4
MateusRodCosta,44,864,451,4
Cogitri,28,1636,307,4
Oppzippy,22,6479,2548,4
lachhebo,56,996,639,4
TobiasFella,9,222,26,4
vikdevelop,308,6330,6174,4
BeatLink,50,186,147,4
junjieyuan,8,5,12,4
starnight,38,1050,616,4
haecker-felix,61,1322,898,4
amtlib-dot-dll,21,685,53,4
Steinhagen,9,209,1035,4
leinardi,116,4826,3388,4
wsgalaxy,44,2287,1640,4
julianfairfax,22,543,166,4
iMonZ,5,5,3,4
ranfdev,38,2221,2050,4
loganmc10,41,513,91,4
albfan,18,639,290,4
lu9dce,52,692,947,4
rishabh3354,23,1863,325,4
CleoMenezesJr,50,1194,359,4
JoshuaMacklin,11,49,37,4
CharlieQLe,77,21082,8032,4
nate-xyz,44,8443,356,4
lazka,61,17055,16484,4
EliasTheGrandMasterOfMistakes,15,126,37,4
keplersj,8,636,6,4
philn,49,713,630,4
Krafting,58,848,440,4
jakobjakobson13,21,113,174,4
dginovker,97,873,453,4
me00001,25,5884,1977,4
GabMus,52,2486,1180,4
evfool,19,87,76,4
mvainola,28,142,119,4
andreasn,4,35,29,4
ykgmfq,54,1140,725,4
reptofrog,4,8,4,4
bkmeneguello,4,20,20,4
kayomn,5,40,5,4
TuxTheAstronaut,4,6632,179,4
vulongm,68,20980,17682,4
nlogozzo,289,22208,22072,4
janbrummer,30,1894,758,4
MartinBriza,46,225,86,3
bam80,4,37,1,3
LLNet,5,23,20,3
bk138,23,151,22,3
